My Team
""
Player,Stat Type,Games Played,Minutes per Game,Points per Game,Rebounds,Assists,Steals,Blocks,3PM,FG%,FT%,Turnovers
Shai Gilgeous-Alexander,(Current Season),7.0,107.69999999999999,96.89999999999999,14.100000000000001,18.9,7.199999999999999,3.3000000000000003,3.0,54.5,98.1,10.2
Kevin Love,(Projected),64.0,44.6,25.8,14.4,5.4,0.6,0.4,5.0,41.7,85.4,2.6
Kevin Love,(Current Season),7.0,38.6,22.2,14.6,3.2,0.0,0.2,4.8,42.4,84.6,1.8
Grant Williams,(Projected),78.0,52.2,16.2,7.6,2.2,1.0,1.6,2.8,46.3,85.4,1.8
Grant Williams,(Current Season),6.0,51.6,19.6,9.0,3.0,1.0,2.0,4.0,63.3,81.8,0.6
Kelly Olynyk,(Projected),67.0,79.5,37.2,15.299999999999999,10.5,3.0,1.7999999999999998,3.9000000000000004,47.9,82.1,5.4
Kelly Olynyk,(Current Season),9.0,80.4,36.3,12.299999999999999,10.2,4.800000000000001,2.0999999999999996,5.4,54.2,68.2,8.399999999999999
Draymond Green,(Projected),67.0,59.2,14.2,13.4,14.0,2.4,2.0,0.6,47.1,67.6,6.2
Draymond Green,(Current Season),9.0,58.2,17.8,11.8,11.2,2.2,1.4,0.6,61.4,58.3,4.8
Spencer Dinwiddie,(Projected),67.0,30.2,15.4,3.7,4.4,0.7,0.2,1.7,42.8,74.5,1.6
Spencer Dinwiddie,(Current Season),7.0,32.0,16.7,2.9,3.9,1.3,0.0,2.7,48.4,66.7,1.6
Dorian Finney-Smith,(Projected),79.0,33.8,8.9,4.5,1.0,1.1,0.5,1.7,45.9,70.2,0.9
Dorian Finney-Smith,(Current Season),7.0,32.9,7.4,4.3,0.7,0.9,0.7,1.3,42.0,33.3,0.6
Harrison Barnes,(Projected),77.0,101.69999999999999,47.7,17.1,7.199999999999999,2.0999999999999996,0.6000000000000001,5.4,46.0,83.9,4.5
Harrison Barnes,(Current Season),7.0,99.0,34.2,17.1,6.8999999999999995,1.2000000000000002,0.30000000000000004,1.7999999999999998,38.7,80.0,3.3000000000000003
Cole Anthony,(Projected),70.0,88.5,46.8,16.799999999999997,15.899999999999999,2.0999999999999996,0.6000000000000001,5.699999999999999,40.2,87.0,7.199999999999999
Cole Anthony,(Current Season),4.0,91.5,46.5,14.399999999999999,12.899999999999999,2.4000000000000004,2.4000000000000004,5.4,41.5,73.3,6.0
Rudy Gobert,(Projected),73.0,65.4,28.0,27.6,2.2,1.4,4.8,0.0,70.4,67.6,3.6
Rudy Gobert,(Current Season),8.0,65.0,26.6,28.0,2.6,1.0,3.2,0.0,59.7,63.4,3.0
Weekly Totals,Projected Stats,1057.0,1071.0000000000002,588.0999999999999,209.89999999999995,142.8,34.2,20.6,64.9,46.726666666666674,80.58,74.5
Weekly Totals,Current Season,103.0,1082.5,588.6,207.80000000000004,145.60000000000002,35.6,26.599999999999998,58.79999999999999,48.60666666666667,74.98,76.2
